EmployeeID,FirstName,LastName,PersonalNumber,PhoneNumber,Email,HireDate,ReleaseDate,Salary
caeaf952-f6a8-4f78-86b2-0303f69aba97,Cassaundra,Bannard,19900010-8570,+46 508406252,cbannard0@imgur.com,06/24/2020,02/16/2022,27206
02906a5e-92c5-45d0-9fd1-dc6ec70a2f4e,Clo,Stops,19970613-2871,+46 807737755,cstops1@ibm.com,12/03/2021,NONE,22157
682273d4-1a99-45c2-ad28-2befe6206f6a,Stephannie,Shorto,19990419-4505,+46 512931981,sshorto2@abc.net.au,04/30/2021,NONE,26996
83e4c229-2605-4512-96e1-0656ec16b32e,Archibaldo,Geekie,19970910-6104,+46 745586302,ageekie3@feedburner.com,04/13/2021,NONE,10443
5f8f92eb-3aac-4d89-a62f-f8b78c95d580,Gray,Stanfield,19900718-5905,+46 390655526,gstanfield4@businesswire.com,06/30/2021,01/21/2022,49612
96ae6350-bb26-41f1-9190-c8b544520d11,Xaviera,Skellorne,19920119-0269,+46 499524137,xskellorne5@answers.com,11/21/2021,02/10/2022,40187
1683b83e-7aa5-44b9-8cb5-125a78a1458e,Francis,Swindin,19910410-5185,+46 790910442,fswindin6@multiply.com,09/29/2021,NONE,15895
bd01448b-05b0-4402-9cb4-84acd49c7e51,Shell,Gabbett,19920710-5679,+46 971717581,sgabbett7@home.pl,06/17/2021,NONE,24219
a161c44b-c7d1-49bc-830b-60fc00a6cdd9,Bennett,Senter,19990114-7964,+46 749133590,bsenter8@biglobe.ne.jp,09/02/2021,NONE,45715
15910cca-3045-4d4b-b42f-b19f22c2fa36,Eliza,Northen,19920610-2812,+46 590538914,enorthen9@washingtonpost.com,08/16/2021,02/26/2022,20074
d1fd1361-6b1c-460e-b405-bc2fdb383587,Aggie,Fishley,19960711-7529,+46 398578000,afishleya@sciencedirect.com,12/06/2020,01/28/2022,49279
f8e3f001-fd4e-4c06-bfc6-d57d8e78c52b,Mariele,Quarrington,19910110-4802,+46 617482872,mquarringtonb@omniture.com,03/13/2021,NONE,38297
bb003c51-b028-4ab5-8149-f374a286a2ee,Gertie,Belasco,19920217-3305,+46 268333572,gbelascoc@xing.com,08/25/2021,NONE,19757
8f0ce18c-d08b-4684-9315-adcee9b5a127,Barney,Comer,19960915-0273,+46 695244159,bcomerd@ning.com,07/09/2021,NONE,36602
d7933863-fb61-4652-bf30-1cffc391addb,Codie,Whales,19970110-7112,+46 852289344,cwhalese@phoca.cz,05/13/2021,NONE,36035
0683d2d3-e7ea-4966-9752-ac8b080aebae,Margo,Westmorland,19950215-0348,+46 573540903,mwestmorlandf@over-blog.com,07/06/2020,NONE,13489
ec8e0765-3960-4118-9b47-fd9e616c8c3f,Carlynne,Waskett,19970514-5361,+46 689411159,cwaskettg@ft.com,07/16/2020,NONE,25827
9309203a-8ce5-47cb-9ddb-b9d48b620b19,Amelie,Vesque,19970913-9335,+46 519050925,avesqueh@china.com.cn,09/06/2021,NONE,23609
6db22523-ce9c-48f3-931a-c9b2e86cfe68,Chickie,Gatland,19900710-2829,+46 074258942,cgatlandi@samsung.com,07/31/2020,NONE,16416
4d5b6203-8383-44ec-922c-74608226eda5,Merola,Connikie,19930411-8085,+46 985152566,mconnikiej@aol.com,10/28/2020,NONE,11404
070c092e-be17-47c7-95ee-f548f167991c,Willette,Honywill,19900118-2646,+46 048413970,whonywillk@sfgate.com,09/01/2021,NONE,33274
64a86803-c99f-4c80-a287-958df43393f1,Rhonda,Toma,19920610-7364,+46 304594915,rtomal@mozilla.com,09/05/2021,NONE,13539
cb667e81-f803-42db-bbd3-f4d5fb5c951c,Forrest,Qualtro,19970215-6147,+46 600757440,fqualtrom@free.fr,04/20/2021,NONE,39108
9fc29232-d173-49a9-9a7c-515c303258d6,Gratia,Shearsby,19930411-6874,+46 588340285,gshearsbyn@businesswire.com,01/23/2020,NONE,13945
d89ae5fa-e65e-43d7-8ebf-e54f81e7f847,Hermine,Canaan,19960910-4718,+46 145927353,hcanaano@guardian.co.uk,07/09/2020,NONE,18652
